Title,PDF,EPUB,Other Links
The Art of Writing MIPS : An Unconventional Approach,https://leanpub.com/s/2BF80040442445E1B4DE59BECBFA5402.pdf,,
AWS re:Invent 2021 Lessons,https://leanpub.com/s/330BA4F95A644488BFE108649FC92582.pdf,https://leanpub.com/s/330BA4F95A644488BFE108649FC92582.epub,
The Little Book of Little Books,https://leanpub.com/s/4E619E4B6AC0444E9CD4B6DFD0306C25.pdf,https://leanpub.com/s/4E619E4B6AC0444E9CD4B6DFD0306C25.epub,
How to be an Information Security Consultant,https://leanpub.com/s/5BFB5380A39A481CB2E8B0317AF9F002.pdf,,
Teradata Fundamentals,https://leanpub.com/s/EBB98EE145484F12912ECB54C27350B3.pdf,https://leanpub.com/s/EBB98EE145484F12912ECB54C27350B3.epub,
The Kinesis book,https://leanpub.com/s/54C2E15A9F5449AD98B4E6379F7C6F77.pdf,https://leanpub.com/s/54C2E15A9F5449AD98B4E6379F7C6F77.epub,
La Economía Blockchain - Manual Básico,https://leanpub.com/s/20CBA10C893D4503985DE3556D1DD468.pdf,,
Los acordes dominantes y sus tritonos en el jazz,https://leanpub.com/s/424779371A784B239029AB9EC69CE72A.pdf,,
Git Workflow Discipline,https://leanpub.com/s/487872B2247F46778EE053CE1860135D.pdf,https://leanpub.com/s/487872B2247F46778EE053CE1860135D.epub,
#DEVSFROMSPAIN,https://leanpub.com/s/6CCF0204C7DB42278FFA9FB3E694BC39.pdf,,
Introductory International Economics for BBA,https://leanpub.com/s/30399FDF2CB9472BA6B1A7E247AEFA01.pdf,https://leanpub.com/s/30399FDF2CB9472BA6B1A7E247AEFA01.epub,
Προγραμματισμός με FreeBASIC,https://leanpub.com/s/1C617FE3C97A49BF8073A135AF1C68F5.pdf,,
Rethinking Learning,,https://leanpub.com/s/4E0690F5B20343B99446EC98DB87AB07.epub,
Creación de una API REST con NestJs y MongoDB,https://leanpub.com/s/0157E6F02C064DD7BCA523B0019D7C25.pdf,,
ChatGPT: Tu Entrenador de Python,https://leanpub.com/s/7ACAF2894BF54DEC94F1448D10556B80.pdf,,
Project Breakdown Structures,https://leanpub.com/s/757721808A9342EBA153F987B16BD058.pdf,https://leanpub.com/s/757721808A9342EBA153F987B16BD058.epub,
Project Teaming Principles,https://leanpub.com/s/4745B24474F641568BFADEEEF6B63B79.pdf,https://leanpub.com/s/4745B24474F641568BFADEEEF6B63B79.epub,
Programación de Negocios Web,,https://leanpub.com/s/7D8ED0268F1F4EA0A18BE495CF8F5AB6.epub,
Theory and Design of Induction Motor and Transformer,https://leanpub.com/s/A0C2C24A96464021A7C1FC5099138A21.pdf,,
Leading with Morale,https://leanpub.com/s/0BA7878EABFB4861AF42A37B815A9119.pdf,,
The DadFit Dynasty Manual,https://leanpub.com/s/B88F636AE7E54E1290724B3FDADDBD88.pdf,https://leanpub.com/s/B88F636AE7E54E1290724B3FDADDBD88.epub,
All you can code,,https://leanpub.com/s/C4570349E82D46A6AF5B60CE1BABF4E1.epub,
RESTful Dictionary,https://leanpub.com/s/85CE369B32BC42809A56D3C03D91E4C6.pdf,,
The War Of The Ages,https://leanpub.com/s/4A467631CC294365A2465B055C9EEEF5.pdf,https://leanpub.com/s/4A467631CC294365A2465B055C9EEEF5.epub,
Building and Operating Data Hubs,https://leanpub.com/s/987BD235F55A468D817012FA2869A38E.pdf,https://leanpub.com/s/987BD235F55A468D817012FA2869A38E.epub,
Time series analysis in Python,https://leanpub.com/s/564AF3F283664E03BFE0D29BAC5412E7.pdf,https://leanpub.com/s/564AF3F283664E03BFE0D29BAC5412E7.epub,
Angular Material Fundamentals - Mat-Slider,https://leanpub.com/s/1E601F3B56AE4CB69E9CDCBAD91A7722.pdf,,
Product Data & Growth Reference Book,https://leanpub.com/s/0D2F16520E5B4C6780047244A85CCE02.pdf,https://leanpub.com/s/0D2F16520E5B4C6780047244A85CCE02.epub,
The Future of Procurement - From Function to Capability,https://leanpub.com/s/91A11A73423A439380D2221BCF61B02B.pdf,,
"React From Scratch, Book 3: React Mastery",https://leanpub.com/s/BD2F246B504A4055AF57A83567DBBF34.pdf,https://leanpub.com/s/BD2F246B504A4055AF57A83567DBBF34.epub,
Bug reporting,https://leanpub.com/s/207F05CCFF2C40E8AA2F45FB45BDE355.pdf,,
Zero to Py,https://leanpub.com/s/777C5B1C44584EBFA886D4F349CCBD49.pdf,https://leanpub.com/s/777C5B1C44584EBFA886D4F349CCBD49.epub,
It's hard to say NO,https://leanpub.com/s/F9A842F245404F70B2E066D9F70872A6.pdf,,
Leadership in Digital Era: Navigate Change and Drive Innovation,https://leanpub.com/s/FBCDADD95DE84BA189BC513F365EF053.pdf,,
Full Speed Python,https://leanpub.com/s/E5A7ADD5DA7C4A1DA1D696C8AB302F16.pdf,https://leanpub.com/s/E5A7ADD5DA7C4A1DA1D696C8AB302F16.epub,
10 Minutes Coaching for Goal Setting,https://leanpub.com/s/4A294920D50542A8892132ABEF711E9F.pdf,,
100 Fábulas para Programadores,https://leanpub.com/s/B75436E9F60C4C3F9445072C293BC60E.pdf,https://leanpub.com/s/B75436E9F60C4C3F9445072C293BC60E.epub,
OWASP Smart Contract Security Testing Guide,https://leanpub.com/s/FCD6FC2D8A44422D88FC1F0DE2D26FFB.pdf,,
Building Systems Like a Senior Engineer,https://leanpub.com/s/6A8602A878AA4EA8B0995761ADF276D5.pdf,https://leanpub.com/s/6A8602A878AA4EA8B0995761ADF276D5.epub,
The MoSy Framework Handbook,https://leanpub.com/s/DC41551D8620401EA08994F4B0A781DC.pdf,https://leanpub.com/s/DC41551D8620401EA08994F4B0A781DC.epub,
Small Book of Emotional Compass,https://leanpub.com/s/43D768C1728C4377AF3175278EDF4734.pdf,,
Black Box Tactics,https://leanpub.com/s/A2DBD163C3084D4184594E1F683BAF6C.pdf,,
Humans,https://leanpub.com/s/07DE58B999F6446AAB4F24538D861E9B.pdf,,
Effectively Learning to Code,https://leanpub.com/s/3FD76D07D9744CD7A762518141A02FDF.pdf,,
SIMPLE,https://leanpub.com/s/D993A05B592E4841A8257100C09C7D31.pdf,,
The Agile Brain,https://leanpub.com/s/0720E45B2EF142F48276801A23175C0D.pdf,https://leanpub.com/s/0720E45B2EF142F48276801A23175C0D.epub,
R.I.S.K. Robust Innovative Safe-Keeping,https://leanpub.com/s/E8B5F2B55BAC44CFAFCB1029A359DEA6.pdf,,
Technoscopes,,https://leanpub.com/s/FE000A64949E4D5D8E6BFDC0655EA5A8.epub,
End to End API Testing & Interview Questions Notes,https://leanpub.com/s/B048838B6AEE4ADD9C75E8E35D4F8BF9.pdf,,
Driving Business Growth Through Cybersecurity: The Strategic Advantage of Fractional Executive Advisors for SMBs,https://leanpub.com/s/E39C69A53FAB4BB69D4C860A45369F1D.pdf,https://leanpub.com/s/E39C69A53FAB4BB69D4C860A45369F1D.epub,
Building Browser Game Prototypes,https://leanpub.com/s/CD754CE2CFB144E4AADB00E42803D511.pdf,https://leanpub.com/s/CD754CE2CFB144E4AADB00E42803D511.epub,
The Stone Princess,,https://leanpub.com/s/684904363D874A60B971965A7D32A898.epub,
Linuxsystemprog,https://leanpub.com/s/6A5D80B976504D74BB46CD103DC4EEB4.pdf,,
Professional Software Architect's Notebook,https://leanpub.com/s/BED44A8A0A7049B5A17399B5DD27B78C.pdf,,
