Backtest: SOXL
Timestamp: 2026-09-18T22:50:29Z
Range: 2024-01-01 to 2026-09-18
Interval: 1d
Initial cash: $10,000.00
Final equity: $86,806,164.14
Return: 867,961.64%
Rate factor: 8,680.62x
Profit factor: 176.12x
Win rate: 54.55%
Max drawdown: $31,328,576.96 (31.63%)
Trades: 11

Trade Details:
| Entry Date          | Exit Date           | Side | Entry   | Exit    | Qty | PnL    | Reason |
|--------------------|---------------------|------|---------|---------|-----|--------|--------|
| 2024-04-08T00:00:00 | 2024-04-08T00:00:00 | LONG |   36.84 |   44.00 | 271.4 | 1943.54 | signal_flip |
| 2024-07-23T00:00:00 | 2024-07-23T00:00:00 | LONG |   43.21 |   50.53 | 552.8 | 4046.60 | signal_flip |
| 2024-09-05T00:00:00 | 2024-09-05T00:00:00 | LONG |   38.49 |   29.75 | 1451.5 | -12685.91 | signal_flip |
| 2024-10-25T00:00:00 | 2024-10-25T00:00:00 | LONG |   36.68 |   35.28 | 2354.5 | -3296.30 | signal_flip |
| 2024-12-31T00:00:00 | 2024-12-31T00:00:00 | LONG |   30.48 |   27.31 | 5450.6 | -17278.29 | signal_flip |
| 2025-01-13T00:00:00 | 2025-01-13T00:00:00 | LONG |   32.49 |   27.85 | 9163.1 | -42516.88 | signal_flip |
| 2025-02-03T00:00:00 | 2025-02-03T00:00:00 | LONG |   29.99 |   25.61 | 17018.5 | -74541.15 | signal_flip |
| 2025-08-04T00:00:00 | 2025-08-04T00:00:00 | LONG |   13.28 |   25.00 | 65639.2 | 769291.99 | signal_flip |
| 2025-11-17T00:00:00 | 2025-11-17T00:00:00 | LONG |   27.53 |   36.84 | 119214.0 | 1109882.57 | signal_flip |
| 2026-03-05T00:00:00 | 2026-03-05T00:00:00 | LONG |   47.99 |   54.80 | 183031.7 | 1246445.18 | signal_flip |
| 2026-07-07T00:00:00 | 2026-07-07T00:00:00 | LONG |   76.39 |  165.28 | 262603.4 | 23342812.00 | signal_flip |
